Setor;Modelo;Tipo;Serie;Patrimonio;Filial;Status;
10287;OP. DE CAIXA;4;;;;;
10289;OP. DE CAIXA;4;;;;;
10291;OP. DE CAIXA;4;;;;;
10292;OP. DE CAIXA ;4;;;;;
10293;OP. DE CAIXA;4;;;;;
10295;OP. DE CAIXA;4;;;;;
10296;OP. DE CAIXA;4;;;;;
10307;OP. DE CAIXA;4;;;;;
10368;OP. DE CAIXA;4;;;;;
10434;OP. DE CAIXA;4;;;;;
10435;OP. DE CAIXA;4;;;;;
10775;OP. DE CAIXA;4;;;;;
30163;OP. DE CAIXA;4;;;;;
30298;OP. DE CAIXA ;4;;;;;
30339;OP. DE CAIXA;4;;;;;
30348;OP. DE CAIXA;4;;;;;
30381;OP. DE CAIXA;4;;;;;
30391;OP. DE CAIXA ;4;;;;;
30413;OP. DE CAIXA;4;;;;;
30425;OP. DE CAIXA;4;;;;;
30436;OP. DE CAIXA;4;;;;;
30451;OP. DE CAIXA;4;;;;;
30725;OP. DE CAIXA;4;;;;;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10502;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10524;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10504;4;True;
FRENTE DE CAIXA;BEMATECH RC 8300;PC;1,02E+17;10500;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 380;PC;4NC7GM1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 390;PC;GZT52VI;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 390;PC;GMQ92V1;10783;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 390;PC;78L72V1;10782;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 390;PC;58L72V1;10773;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 755;PC;58PCTJ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;CN0LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;1X8LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;5X8LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;J39LWQ1;10309;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;5X8LWQ1;10308;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;9Y8LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;939LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;8N0LWQ1;10305;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;D09LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;9N0LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;709LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;HN0LWQ1;;;True;
FRENTE DE CAIXA;DELL OPTIPLEX 780;PC;729LWQ1;10301;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 790;PC;2WYXRR1;10277;4;True;
FRENTE DE CAIXA;DELL OPTIPLEX 790;PC;1VYXRR1;10276;4;True;
CALLCENTER;HP LASERJET M1212NF;IMPRESSORA;BRJSF6R0D5;90693;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BR0FJ0677071383U03VA;10497;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BROFCFPK075913C25E7M;30653;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BROFCFPK075913CBGDM;30714;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BR0FJ0677071383U04N4;30171;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BR0M496GV0759124R2TAL;30747;4;True;
CALLCENTER;DELL E157FPC;MONITOR;BR0G347H0759108B3;30168;4;True;
CALLCENTER;SAMSUNG S19A300B;MONITOR;Y46NHXFCA10396N;30745;4;True;
CALLCENTER;SAMSUNG S19A300B;MONITOR;Y46NHXFCA12192H;30746;4;True;
CALLCENTER;DELL OPTIPLEX 3010;PC;D6LL6W1;10874;4;True;
CALLCENTER;DELL OPTIPLEX 3010;PC;CNPR0Y1;10764;4;True;
CALLCENTER;DELL OPTIPLEX 3010;PC;4NPR0Y1;10765;4;True;
